업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시 (입찰마감일시),공동 수급,투찰,내용링크
용역,E112100078-00,일반,[3차 신규]제주본부 업무용차량 임차,한국전력거래소,재무경영팀,일반(총액),2021/07/01 11:00 (2021/07/09 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210700997&bidseq=00
용역,E112100077-00,일반,전력거래사 자격제도 도입 타당성 분석 및 기초설계 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/29 11:04 (2021/07/09 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210646815&bidseq=00
물품,A112100016-00,일반,본사사옥 유지관리용 비품 구매,한국전력거래소,기획본부,수의(총액),2021/06/28 09:48 (2021/07/01 14:32),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210645056&bidseq=00
용역,E112100075-00,일반,제17회 서울국제전력시장 컨퍼런스(SICEM 2021) 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/06/25 14:31 (2021/07/06 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210643934&bidseq=00
용역,E112100074-00,일반,전력거래사 자격제도 도입 타당성 분석 및 기초설계 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/25 13:56 (2021/07/06 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210643733&bidseq=00
용역,E112100073-00,일반,제17회 서울국제전력시장 컨퍼런스(SICEM 2021) 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/06/25 13:53 (2021/07/06 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210643732&bidseq=00
용역,E112100070-00,일반,[2차 신규]제주본부 업무용차량 임차,한국전력거래소,재무경영팀,제한(총액),2021/06/22 12:59 (2021/06/30 13:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210638005&bidseq=00
용역,E112100071-00,일반,[재공고]제약기반 발전계획 및 실시간UC 도입에 따른 국내 수급/관제운영 체계 전환 전략에 관한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/06/22 11:30 (2021/07/06 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210639648&bidseq=00
용역,E112100069-00,일반,[정정]2021년도 한국전력거래소 체력단련장 위탁 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/18 14:40 (2021/06/28 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210633818&bidseq=00
물품,A112100015-00,일반,2021년도 근무복 제작·구매,한국전력거래소,기획본부,수의(총액),2021/06/18 13:02 (2021/06/23 15:45),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210633682&bidseq=00
용역,E112100068-00,일반,2021년도 한국전력거래소 체력단련장 위탁 용역,한국전력거래소,재무경영팀,제한(총액),2021/06/17 14:26 (2021/06/28 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210631291&bidseq=00
